flight_id,airline,from_airport,to_airport,departure_time,arrival_time,duration_minutes,price,cabin,stops,available_seats
FL00001,Air Serbia,CAI,SIN,07:10,20:29,799,778,Economy,1,139
FL00002,British Airways,MAA,ANC,06:15,15:37,562,1024,Economy,1,183
FL00003,Gulf Air,HNL,BCN,00:10,12:49,759,1843,Premium Economy,0,55
FL00004,Cathay Pacific,MCT,RUH,11:25,22:28,663,828,Economy,0,117
FL00005,Japan Airlines,LAX,DAC,20:45,12:36,951,3444,Premium Economy,1,180
FL00006,Condor,BNE,PEK,09:05,00:25,920,1100,Economy,0,71
FL00007,Delta Air Lines,TPA,CGK,06:50,12:08,318,633,Economy,1,18
FL00008,Delta Air Lines,YUL,OSL,08:50,21:19,749,1308,Economy,1,215
FL00009,British Airways,KUL,ZRH,12:20,14:12,112,412,Business,1,224
FL00010,Eurowings,LOS,MXP,20:35,23:46,191,238,Economy,0,143
FL00011,AirAsia,BUD,MSP,07:10,16:36,566,927,Economy,1,220
FL00012,Aer Lingus,CAI,IAD,21:30,08:25,655,594,Economy,0,119
FL00013,Middle East Airlines,HEL,LHR,21:40,11:13,813,3260,Business,1,28
FL00014,Delta Air Lines,ADD,PHL,23:55,05:09,314,769,Economy,1,129
FL00015,Icelandair,JED,NBO,06:10,13:17,427,1432,Premium Economy,0,199
FL00016,Ethiopian Airlines,DXB,DAR,11:20,16:10,290,260,Economy,1,242
FL00017,TAROM,BOM,BLR,02:40,16:29,829,840,Economy,1,242
FL00018,Wizz Air,YVR,BUD,13:15,23:12,597,3980,Business,1,182
FL00019,El Al,CMN,XIY,14:40,23:07,507,814,Premium Economy,0,86
FL00020,Lion Air,AMS,ZRH,02:55,14:26,691,621,Economy,0,8
FL00021,RyanAir,TLV,AKL,21:35,01:59,264,453,Economy,1,225
FL00022,Volaris,AUS,OSL,13:15,15:36,141,136,Economy,0,108
FL00023,TAROM,GMP,STL,20:50,23:15,145,130,Economy,0,204
FL00024,JetBlue Airways,JED,ARN,14:10,22:07,477,530,Economy,0,223
FL00025,JetSMART,DEL,PHX,17:05,18:41,96,585,Business,0,3
FL00026,United Airlines,HYD,MUC,15:15,06:45,930,1378,Economy,0,97
FL00027,Avianca,DXB,CAN,14:20,22:18,478,5214,First,1,200
FL00028,JetBlue Airways,PPT,IAD,01:45,15:03,798,1373,Economy,1,14
FL00029,South African Airways,PVG,RDU,16:10,17:53,103,1375,First,0,47
FL00030,Air India,BNE,MUC,18:15,04:52,637,1153,Economy,1,107
FL00031,Spirit Airlines,LOS,PRG,10:15,15:31,316,744,Premium Economy,1,76
FL00032,Aegean Airlines,SAN,LOS,00:35,11:56,681,9350,First,2,18
FL00033,Avianca,MXP,CHC,11:05,02:50,945,1148,Economy,0,112
FL00034,El Al,JNB,LHR,09:50,12:21,151,1155,Business,0,29
FL00035,Copa Airlines,JED,IAD,06:55,13:31,396,453,Economy,1,67
FL00036,LATAM Airlines,CHC,SUV,01:05,12:39,694,5797,First,0,0
FL00037,Icelandair,AMM,DFW,05:55,14:12,497,4746,First,1,2
FL00038,Jazeera Airways,CAI,DEL,17:00,07:59,899,7056,First,1,110
FL00039,SAS Scandinavian,ORD,ICN,01:25,05:45,260,509,Economy,1,90
FL00040,WestJet,CTS,IAD,05:30,06:40,70,246,Business,1,200
FL00041,Copa Airlines,GMP,ARN,22:05,05:21,436,995,Economy,1,56
FL00042,Aeroflot,LIM,SAN,07:15,08:24,69,132,Economy,0,71
FL00043,Aeroflot,BNE,MAN,12:50,03:58,908,2486,Premium Economy,2,29
FL00044,AirAsia,PRG,CUN,08:00,10:36,156,1556,First,0,201
FL00045,EVA Air,LOS,PHL,03:30,14:05,635,3921,First,0,111
FL00046,China Eastern,DXB,BOG,21:25,08:48,683,910,Economy,2,184
FL00047,SAS Scandinavian,NBO,CHC,10:30,23:08,758,1579,Premium Economy,0,107
FL00048,China Airlines,KTM,MEX,12:40,03:38,898,1150,Premium Economy,0,110
FL00049,Oman Air,DAR,STL,06:40,15:29,529,1137,Economy,2,188
FL00050,Azul Airlines,YUL,BLR,20:45,03:13,388,593,Premium Economy,2,60
FL00051,JetSMART,CMN,LIS,00:00,04:55,295,729,Economy,1,196
FL00052,Vistara,AKL,TPA,18:15,07:15,780,4950,Business,1,62
FL00053,Aegean Airlines,MIA,JFK,03:30,07:59,269,944,Business,2,132
FL00054,Philippine Airlines,PDX,PVG,03:35,06:36,181,391,Economy,1,143
FL00055,China Airlines,ACC,PHX,16:30,07:25,895,6704,Business,1,40
